
NXT/BTC 1512695463826000 0.000036 0.00003593 0.000036 44088370 
BTC/USDT 1512695465891000 16600.00000003 16600.00000004 16600.00000013 16484 
XMR/BTC 1512695467071000 0.01474098 0.01474117 0.01489204 193212 
STR/BTC 1512695470643000 0.0000073 0.0000073 0.00000732 772606201 
NXT/BTC 1512695472036000 0.000036 0.000036 0.00003643 44088370 
BTC/USDT 1512695473168000 16600.00000011 16600.00000012 16600.00000013 16484 
XMR/BTC 1512695474276000 0.01474121 0.01474128 0.01489204 193212 
STR/BTC 1512695475367000 0.00000733 0.00000727 0.00000731 772606201 
NXT/BTC 1512695476463000 0.000036 0.00003601 0.00003643 44088370 
BTC/USDT 1512695477563000 16648.0 16600.00000012 16647.99999997 16484 
XMR/BTC 1512695480185000 0.01474121 0.0148167 0.01489204 193212 
STR/BTC 1512695481273000 0.00000725 0.00000724 0.0000073 772606201 
NXT/BTC 1512695483925000 0.0000361 0.0000361 0.00003642 44088370 
BTC/USDT 1512695485045000 16600.00000027 16647.9999998 16647.9999999 16484 
XMR/BTC 1512695486147000 0.01474121 0.01481679 0.01489204 193212 
STR/BTC 1512695487570000 0.00000729 0.00000724 0.00000729 772606201 
NXT/BTC 1512695490290000 0.0000361 0.00003611 0.00003642 44088370 
BTC/USDT 1512695491481000 16647.99999987 16600.0000008 16647.99999984 16484 
XMR/BTC 1512695492601000 0.01489204 0.01489204 0.01493611 193212 
STR/BTC 1512695493760000 0.00000723 0.00000723 0.00000724 772489063 
NXT/BTC 1512695494846000 0.0000362 0.0000362 0.00003642 44117118 
BTC/USDT 1512695496740000 16686.99999967 16600.0000005 16624.00000025 16502 
XMR/BTC 1512695498711000 0.01489204 0.01489204 0.01493611 193046 
STR/BTC 1512695500100000 0.00000724 0.00000722 0.00000724 772489063 
NXT/BTC 1512695501955000 0.00003612 0.00003613 0.000037 44117118 
BTC/USDT 1512695503189000 16686.99999967 16624.00000018 16624.00000025 16502 
XMR/BTC 1512695504298000 0.01493611 0.01481708 0.01493611 193046 
STR/BTC 1512695505403000 0.00000724 0.00000722 0.00000724 772489063 
NXT/BTC 1512695506941000 0.00003612 0.00003621 0.00003699 44117118 
BTC/USDT 1512695510787000 16750.0 16650.0 16749.99999997 16502 
XMR/BTC 1512695511937000 0.01497532 0.01481723 0.01497532 193046 
STR/BTC 1512695513044000 0.00000733 0.00000722 0.00000727 772489063 
NXT/BTC 1512695514860000 0.00003612 0.00003623 0.0000369 44117118 
BTC/USDT 1512695518485000 16582.75066357 16579.9999999 16590.0 16502 
XMR/BTC 1512695519668000 0.0148173 0.01481733 0.01497529 193046 
STR/BTC 1512695520817000 0.00000725 0.00000725 0.00000727 772489063 
NXT/BTC 1512695521904000 0.00003613 0.00003624 0.00003688 44117118 
BTC/USDT 1512695523189000 16589.99999997 16560.99999969 16589.99999997 16502 
XMR/BTC 1512695524367000 0.0148173 0.01482701 0.01497524 193046 
STR/BTC 1512695531308000 0.00000732 0.00000726 0.00000727 772489063 
NXT/BTC 1512695532633000 0.00003624 0.0000364 0.0000365 44117118 
BTC/USDT 1512695533785000 16599.99999997 16589.99999987 16599.99999994 16502 
XMR/BTC 1512695537583000 0.01484201 0.01484201 0.01497373 193046 
STR/BTC 1512695538767000 0.00000733 0.00000733 0.00000735 772489063 
NXT/BTC 1512695539868000 0.00003624 0.0000364 0.0000365 44117118 
BTC/USDT 1512695541015000 16594.99999987 16589.99999987 16594.99999987 16502 
XMR/BTC 1512695542104000 0.01484201 0.01485201 0.01497368 193046 
